小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
七里香格,售罄,宁河 - 国际马城东侧（津榆公路与宾滨高速交口,一居(2)，二居(1),2017.04.28,"均价8,800元/m²",总价待定
玺悦峰,在售,[宝坻-宝坻城区]广阳路与新钰华街交口,二居(4)，三居(4),2018.02.23,"均价12,000元/m²",总价待定
金厦龙第新城,待售,宝坻 - 津围公路与渔阳路交口玫瑰园南侧,二居(4)，三居(2),2018.02.26,售价待定,总价待定
仁恒滨河湾,在售,[津南-海河教育园区]南慧路与雅润路交口,二居(5)，三居(4)，四居(2),2018.03.15,"均价20,000元/m²",262-338万元
天悦风华,在售,津南 - 海河教育园区同砚路与雅润路交口,三居(3)，四居(1),2018.03.15,"均价21,500元/m²",195-301万元
富力新城,在售,静海 - 团泊新城东区仁爱西道与泽水北路交口,二居(2)，三居(4),2018.03.13,"最低8,800元/m²起",60万元起
金海湾公寓,售罄,[宁河-宁河]一纬路与二经路交口,二居(2)，三居(3),2017.09.29,"均价6,800元/m²",总价待定
英伦世家（别墅）,售罄,宁河 - 桥北新区规划三八河路蓟运河大桥旁,二居(1)，三居(4),,总价待定,
宝境檀香,待售,[宝坻-宝坻城区]潮阳大道与朝霞路交口,二居(2)，三居(1),2018.02.26,售价待定,总价待定
白鹭湾花园,待售,[宝坻-宝坻城区]潮阳大道与西外环交口,二居(1)，三居(1),2018.02.26,售价待定,总价待定
鸿坤原乡小镇,在售,宝坻 - 宝坻京津新城宝白公路与龙江大街交口,一居(1)，三居(1),2018.02.06,"均价8,700元/m²",42-86万元
龙湖紫宸,在售,[津南-咸水沽镇]南环路咸水沽镇政府旁,二居(1)，三居(3)，四居(1),2018.03.15,"最低18,000元/m²起",173-306万元
首创悦山郡,在售,[津南-辛庄镇]津沽路与鑫怡路交口北行400米,二居(1)，三居(5),2018.03.15,"最低19,000元/m²起",163-295万元
中骏云景台,在售,静海 - 东至园区纵一路，南至泽水北路，西至空地，北至汇水路,三居(4)，四居(1),2018.03.14,"最低10,500元/m²起",113-141万元
雍鑫红星国际广场,待售,[武清-杨村]建设北路与光明道交口,不限(4)，二居(1)，三居(7),2018.02.24,售价待定,总价待定
龙胤溪园（别墅）,售罄,[宁河-宁河]商业道延长线,二居(1)，三居(2),,总价待定,
浩地凤凰城,售罄,[宁河-宁河]商业道,二居(3)，三居(2),,"均价8,000元/m²",总价待定
宁河湾（商铺）,售罄,[宁河-宁河]七里海大道河现代产业园区,四居(1)，五居及以上(2),2016.12.14,售价待定,总价待定
龙胤溪园,售罄,[宁河-宁河]商业道延长线,二居(1)，三居(2),,售价待定,总价待定
宁基官邸壹号（别墅）,售罄,宁河 - 芦台镇桥北新区光明路延长线与绿荫环路交口,一居(1)，二居(2)，三居(2),,总价待定,
合生京津新城,在售,[宝坻-宝坻新城]津蓟高速三号出口温泉城站,一居(2)，四居(3)，五居及以上(1),2018.03.01,"最低10,000元/m²起",55-958万元
博智剑桥郡,在售,宝坻 - 环城东路与环城北路交口（宝坻一中北行800米）,二居(4)，三居(3)，四居(1),2018.02.26,"均价13,500元/m²",149万元
金辉优步湖畔,在售,滨海新区 - 滨海高新区高新五路与惠仁道交口渤龙湖市民广场北侧,二居(4)，三居(2),2018.03.15,"均价10,500元/m²",72-101万元
梧桐公社,在售,[静海-团泊湖]团泊新城西区团泊大道东侧,二居(2)，三居(3),2018.03.15,"均价12,000元/m²",109-154万元
招商果岭,在售,[静海-团泊湖]津王公路松江高尔夫球会西侧,二居(4)，三居(4),2018.03.15,"最低8,200元/m²起",82-178万元
林语花园,待售,武清 - 大良镇廊良公路北侧， 初级中学西500米,二居(2)，三居(4),2018.02.26,售价待定,总价待定
翰林雅苑,售罄,宝坻 - 津围公路与大新路交口（紧邻大口屯镇政府）,一居(1)，二居(5)，三居(3),,售价待定,总价待定
滨海欣嘉园暖塘,待售,[滨海新区-塘沽]港城大道与西中环交界处,二居(4)，三居(4),2018.01.25,售价待定,总价待定
桃源观邸,待售,[滨海新区-塘沽]云山道与威海路交口,二居(4)，三居(4)，四居(2)，五居及以上(1),2018.03.01,售价待定,总价待定
力高阳光海岸,在售,[滨海新区-中新生态城]航北路与湖滨路交口,一居(1)，二居(1)，三居(2),2018.02.23,"均价12,000元/m²",总价待定
贝肯山,在售,[滨海新区]泰达MSD第二大街与北海路交口,不限(4)，一居(1)，二居(3)，三居(3)，四居(2)，五居及以上(1),2018.02.26,"均价35,000元/m²",总价待定
碧桂园海昌天澜,待售,滨海新区 - 中心商务区河南路与安阳道交口,二居(8)，三居(6),2018.02.28,售价待定,总价待定
仁恒北岸中心,在售,[红桥-咸阳北路]咸阳北路与光荣道交口西北侧,二居(3)，三居(4),2018.03.15,"均价35,000元/m²",340-579万元
中昂安纳西小镇,在售,[静海]团泊新城西区东海道东侧、盛湖路北侧,二居(1)，三居(2),2018.03.15,"均价14,300元/m²",150万元
金地长湖湾,在售,静海 - 津王公路旁（团泊温泉酒店西行200米）,二居(3)，三居(7),2018.03.15,130-250万元/套,
鑫苑汤泉世家（别墅）,在售,武清 - 京津高速泗村店东出口右转直行2公里处（龙凤小学旁）,二居(1)，三居(2),2018.02.26,总价待定,
翰墨园（别墅）,售罄,宝坻 - 宝坻潮阳大道与津蓟铁路交口西南侧,不限(1)，一居(1),,总价待定,
中交上东湾,待售,滨海新区 - 东侧南至陕西道，北至延安道，西靠欧洲路，东为观澜路。,一居(11)，二居(31)，三居(15)，四居(3),2018.03.01,售价待定,总价待定
公元大观,在售,[红桥-丁字沽]本溪路与纪念馆路交口,,2018.02.24,"均价40,000元/m²",总价待定
惠灵顿国际社区,待售,[红桥-大胡同]大丰路与小伙巷交口,二居(1)，三居(6)，四居(1),2018.02.28,售价待定,总价待定
泰达城河与海,待售,[红桥-大胡同]西青道与河北大街交口,二居(4)，三居(4)，四居(1),2018.03.01,售价待定,总价待定
亿城堂庭（公寓）,在售,[红桥-丁字沽]勤俭道与光荣道交汇处,一居(1),2018.03.01,"均价24,000元/m²",139万元
华城领秀,售罄,红桥 - 青年路160号（芥园道与怡德道交口）,一居(3)，二居(8)，三居(3),,"均价19,500元/m²",总价待定
鸿坤理想城,在售,静海 - 静海团泊东区仁爱大道与汉水道交口,三居(1),2018.03.15,"均价11,000元/m²",142万元
北新玉龙湾（别墅）,待售,[武清-武清开发区]开源道与新兴路交口,不限(6),2018.02.26,总价待定,
北新玉龙湾,待售,[武清-武清开发区]开源道与新兴路交口,二居(1)，三居(4)，四居(1),2017.01.05,售价待定,总价待定
萬城聚豪,待售,[武清-下朱庄]京津公路沿线嘉河道123号,不限(3)，三居(1),2018.02.26,售价待定,总价待定
翠金湖美墅岛（别墅）,在售,[武清-下朱庄]东部大黄堡湿地保护区内,四居(6),2018.03.01,总价待定,
卓达镜湖,待售,[武清-下朱庄]高村镇京津高速（二线）牛...,,2017.09.30,售价待定,总价待定
中航瑞祥花园,售罄,[宝坻-宝坻城区]南城路55号,二居(2)，三居(4)，四居(3),2016.10.20,"均价9,400元/m²",总价待定
中天城市风景,售罄,[宝坻-宝坻新城]北环东路南,二居(3)，三居(1)，四居(3),,"均价6,540元/m²",总价待定
书香园,售罄,宝坻 - 南三路与宝平公路交口（春天花园旁）,一居(1)，二居(3)，三居(2)，四居(1),,"均价8,700元/m²",总价待定
首创大河公馆,在售,[河北-靖江路]天泰路与津浦北路交口西侧400米,一居(4),2018.03.15,"均价26,000元/m²",172-200万元
津成佳园,在售,滨海新区 - 胜利街与滨海大道交口东侧300米 ,二居(3)，三居(1),2018.03.02,售价待定,总价待定
万通上游国际,售罄,红桥 - 三岔河口泰达城 河北大街与三条石大街交口,二居(10),,"均价20,121元/m²",总价待定
富力新城（别墅）,在售,静海 - 团泊新城东区仁爱西道与泽水北路交口,二居(8)，三居(3)，四居(4)，五居及以上(1),2018.03.15,100-548万元/套,
恒大山水城（别墅）,在售,[武清-泗村店]龙凤新城大东线北,,2018.03.01,总价待定,
泰合府,在售,[武清-杨村]翠亨路与泉水道交口,三居(5)，四居(2),2018.03.02,"均价14,800元/m²",总价待定
翡翠半岛,待售,[武清-杨村]翠亨路与京津二线交汇处,二居(1)，三居(3),2018.03.01,售价待定,总价待定
檀郡（别墅）,待售,[武清-杨村]强国道与建设南路交口,二居(2)，三居(2),2018.02.26,总价待定,
亿利华彩城,在售,[武清-下朱庄]上北新区梅石路与广贤路交口,二居(1)，三居(4)，四居(1),2018.02.26,"均价12,000元/m²",总价待定
宝境栖园,售罄,宝坻 - 宝坻一中向东300米北城东路以南紧邻棉衣宿舍,二居(3)，三居(1),,"均价7,272元/m²",总价待定
融创星河和平印,在售,[和平-劝业场]南京路与鞍山道交口西南侧,一居(2)，二居(3),2018.03.15,"均价70,000元/m²",483-945万元
天房中山路,在售,[河北-中山路]中山北路与养鱼池路交口,二居(1)，三居(1),2018.03.15,"均价32,000元/m²",288-352万元
中国铁建国际城,在售,[河北-金钟河大街]金钟河大街与中环线交口,一居(1)，二居(13)，三居(3),2018.03.15,"均价39,000元/m²",359-413万元
首创大都滙,待售,[河北-中山路]中山路与昆纬路交口,二居(1)，三居(4),2017.09.29,售价待定,总价待定
紫金府,待售,河北 -  河北区建昌道与群芳路交口,二居(2)，三居(4),2018.02.23,售价待定,总价待定
天津滨海万达广场,待售,[滨海新区-塘沽]上海道与洞庭路交口,二居(1)，三居(6)，四居(5),2018.02.26,售价待定,总价待定
阳光美域,待售,[滨海新区-大港]学府南路与育秀街交口处,二居(3)，三居(1),2018.03.02,售价待定,总价待定
建投领海三期,待售,滨海新区 - 洞庭路与集疏港公路交口,二居(5)，三居(8)，五居及以上(1),2018.02.26,售价待定,总价待定
童年河,售罄,[红桥-大胡同]三条石大街与河北大街交口,二居(3)，三居(5),,"均价19,000元/m²",总价待定
虹溪公寓,售罄,[红桥-咸阳北路]丁字沽三号路与咸阳北路交口,二居(4),,"均价18,159元/m²",总价待定
金筑家园,售罄,[红桥-咸阳北路]咸阳路与海源道交口,一居(3)，二居(1)，三居(2),2018.02.06,"均价40,000元/m²",总价待定
振业名邸,售罄,[红桥-丁字沽]佳宁道与双环路交口东北处,二居(2)，三居(2),2017.04.25,"均价27,000元/m²",总价待定
大成中环城,售罄,[红桥-西站]红旗北路与湘潭道交口,二居(4)，三居(2),,"均价31,000元/m²",总价待定
盛运大厦,售罄,[红桥-西站]大丰路与南运河南路交口,一居(9)，二居(3),,"均价13,500元/m²",总价待定
瞰海品筑,售罄,[红桥-咸阳北路]芥园道与青年路交口,二居(3),,"均价17,500元/m²",总价待定
圣水湖畔,在售,[静海-团泊湖]津港线与百亿道交口东侧,一居(2)，二居(5)，三居(2),2018.03.15,"均价8,500元/m²",72-92万元
融创伍杄岛,在售,[静海-团泊湖]中央大道与泽水北路交口,二居(4)，三居(3)，四居(3),2018.03.15,293-346万元/套,
绿地海域香颂,在售,静海 - 团泊新城津王公路东侧 仁爱学院向南200米,三居(1)，四居(2)，五居及以上(1),2018.03.15,176-303万元/套,
亿利华彩城（别墅）,待售,[武清-下朱庄]上北新区梅石路与广贤路交口,不限(2),2018.02.26,总价待定,
首城南湖墅（别墅）,待售,[武清-南湖]天和路与藕甸道交口,四居(3),2017.09.29,总价待定,
南城印象,售罄,宝坻 - 渠阳大街西侧新都汇商业广场南侧,二居(1)，三居(5)，四居(1),2016.11.28,售价待定,总价待定
和平翰林公馆（公寓）,在售,[和平-南京路]南京路与滨江道交口,,2018.02.24,"均价60,000元/m²",总价待定
四季汇（公寓）,在售,[和平-劝业场]赤峰道138号,,2018.02.28,"均价88,000元/m²",总价待定
天津天成,待售,[和平-南京路]和田道与乌鲁木齐路交口,,2018.03.01,售价待定,总价待定
华润紫阳里,在售,和平 - 新华路与锦州道交口（中原百货后）,一居(3)，二居(6),2018.02.06,"均价34,500元/m²",133-281万元
天房北宁公元,待售,河北 - 育红路与思源道交口，中环线盐坨桥东侧，北宁公园北门对面,二居(1)，三居(1),2018.03.01,售价待定,总价待定
中海学府公馆（公寓）,在售,[河西-陈塘庄]黑牛城道与洞庭路交口,一居(3)，二居(1)，三居(3),2018.03.15,"均价26,000元/m²",130-237万元
滨海星河荣御,在售,滨海新区 - 世纪大道与规划海景七路交口（港东新天地旁）,三居(3)，四居(2),2018.03.01,"均价9,500元/m²",总价待定
宝能青春汇（公寓）,售罄,红桥 - 咸阳北路与光荣道交口（咸阳北路公交总站旁）,不限(12),2017.01.10,售价待定,总价待定
静壹城,在售,静海 - 北华路与春曦道交口西南侧,二居(2)，三居(1),2018.03.15,"均价21,000元/m²",总价待定
公馆1882（公寓）,在售,[和平-劝业场]和平路与承德道交口,一居(3)，二居(2)，三居(2)，五居及以上(1),2018.03.01,"均价38,000元/m²",859-904万元
泰安道五大院,在售,[和平-小白楼]解放北路和保定道交汇处,二居(5)，三居(14)，四居(5),2018.03.01,"均价50,000元/m²","1,165-2,060万元"
湯臣津湾一品,在售,[和平-和平路]赤峰道8号,一居(5)，二居(1)，三居(2)，四居(3)，五居及以上(2),2018.02.23,"均价45,000元/m²","1,332-1,530万元"
保利金香槟,售罄,[和平-南市]和平路与慎益大街交口处,一居(2)，二居(4)，三居(1),2017.11.29,"均价11,000元/m²",总价待定
府上和平,售罄,[和平-五大道]西安道与长沙路交口,一居(4)，二居(7)，三居(2),,"均价55,000元/m²",总价待定
天津中心（别墅）,售罄,和平 - 南京路与贵阳路交叉口南京路219号,一居(5)，二居(2),,总价待定,
南开1911,待售,[南开-黄河道]咸阳路西侧,,2018.03.15,售价待定,总价待定
富海公馆（公寓）,在售,[河北-中山路]中山路与日纬路交口,一居(2)，二居(6),2018.02.28,"均价27,000元/m²",135-363万元
雅士轩,待售,[河北-意奥海河]进步道38号,一居(3)，二居(1)，三居(2),2018.02.28,"均价31,000元/m²",211-524万元
天津诺德中心,在售,[河北-中山路]律纬路与五马路交口西北角,二居(8)，三居(6),2018.03.01,"均价32,000元/m²",285万元
财富绿道丹庭,在售,河北 - 南口路与喜峰道交口，东至现状住宅，南至镇宁道，西至南口路，北...,二居(1)，三居(1),2018.02.28,"均价34,000元/m²",286-316万元
仁恒公园世纪,待售,[河西-新梅江]浯水道与洞庭路交口,二居(2)，三居(3)，四居(3),2018.03.15,售价待定,总价待定
八方观园,待售,[滨海新区-响螺湾]天津大道与中央大道交口,二居(4)，三居(2),2018.02.28,售价待定,总价待定
莱蒙国际公馆（公寓）,在售,[静海-静海经济开发区]北华路与徐良路交口,,2018.03.15,"均价7,000元/m²",总价待定
国兴团泊湖墅,在售,静海 - 中央大道与泽水南路交口南行200米,五居及以上(2),2018.03.15,"最低9,500元/m²起",总价待定
犀地（别墅）,售罄,和平 - 吴家窑一号路犀地销售中心（昆鹏小学对面）,一居(3)，二居(3)，三居(1),,总价待定,
天房万欣城,在售,[河东-成林道]津滨大道现代物流商贸区,,2018.03.15,"最低33,000元/m²起",总价待定
融创中心(公寓),在售,[南开-天拖]红旗路与保泽道交口,一居(5),2018.03.15,"均价30,000元/m²",130-220万元
融创181,在售,南开 -  卫津南路与霞光道交口辅路前行20米,二居(1)，三居(1),2018.03.15,"均价80,000元/m²","1,096-1,384万元"
天房天泰,在售,[河北]天泰路696号,二居(2)，三居(3),2018.03.01,"均价33,000元/m²",333-413万元
富贾花园（别墅）,在售,河北 - 中山北路17号（北站立交桥下桥即到）,四居(2),2018.03.01,"2,238-2,256万元/套",
天房海河湾,在售,[河西-陈塘庄]台儿庄南路与水产路交口,三居(2)，四居(2),2018.03.15,"均价40,500元/m²",648-689万元
天津全运村,在售,[河西-新梅江]洞庭路与渌水道交口,三居(13)，四居(4),2018.03.15,"最低39,000元/m²起","566-1,073万元"
金地平山印,在售,[河西-吴家窑大街]气象台路与平泉道交口,一居(1)，二居(1)，三居(3)，四居(1),2018.03.15,"均价55,000元/m²","935-1,045万元"
凯德国贸（公寓）,在售,河西 - 南京路39号(南京路与马场道交口),一居(3)，二居(1),2018.03.01,"均价40,000元/m²","290-1,000万元"
滨海湖（别墅）,待售,[滨海新区]港城大道与滨海湖路交口北行即达,四居(8),2018.03.01,总价待定,
联发欣悦学府（别墅）,待售,滨海新区 - 北塘大街与天池北路交汇处北侧,三居(3),2017.09.30,总价待定,
合恒香醍名邸（别墅）,待售,[静海-团泊湖]团泊新城（西区）团泊大桥西侧,不限(2),2018.03.15,总价待定,
瑞景名郡（别墅）,售罄,[和平-南京路]和平区经济联合大厦东侧,二居(8),,总价待定,
瑞景名郡（公寓）,售罄,[和平-南京路]和平区经济联合大厦东侧,二居(8),,售价待定,总价待定
瑞景名郡,售罄,[和平-南京路]和平区经济联合大厦东侧,二居(8),,"均价24,494元/m²",总价待定
中骏雍景府,在售,[西青-张家窝]枣林大道和嘉和道交口,二居(2)，四居(1),2018.03.15,"最低21,000元/m²起",253万元
路劲太阳城,在售,[河东]凤山道与贺兰路交口,二居(5)，三居(10),2018.03.15,"均价29,200元/m²",200-443万元
融科瀚棠(河东),在售,河东 - 月牙河与昆仑路交口，河东文化公园旁,二居(5)，三居(4),2018.03.15,"均价37,000元/m²",303-363万元
天房天拖,在售,[南开-天拖]保泽道与华坪路交口,二居(6)，三居(11),2018.03.15,"最低50,000元/m²起",510-686万元
天房崇德园,待售,[南开-水上奥体]红旗南路263号,二居(3)，三居(4)，四居(1),2018.03.15,售价待定,总价待定
先知谷（写字楼）,在售,[南开] 南开区梅苑路与物华道交口,,2018.03.01,"均价16,000元/m²",总价待定
海益国际公寓,在售,[南开-华苑]复康路与榕苑路交口,不限(6),2018.03.02,"均价20,000元/m²",140-222万元
松江置地广场,在售,南开 - 鞍山西道与白堤路交口西南侧,一居(10)，二居(4),2018.03.02,"均价19,000元/m²",186万元
自在中环（公寓）,售罄,[河北]河北区南口路与榆关道交口,一居(2)，二居(3),,售价待定,总价待定
海河大道宽景公寓（公寓）,售罄,河北 - 河北建国道和翔纬路交口（海河东岸）,不限(1)，一居(4),,售价待定,总价待定
北大资源阅城,在售,[河西-友谊路]黑牛城道与洪泽南路交口东南侧,二居(1)，三居(9),2018.03.01,"均价45,000元/m²",总价待定
天物郁江溪岸,在售,[河西-友谊路]解放南路与郁江道交口东侧,二居(4)，三居(2),2018.03.01,"均价43,500元/m²",总价待定
天房六合国际,在售,[河西-陈塘庄]黑牛城道与洞庭路交口西北侧,二居(1)，三居(1),2018.02.28,"最低40,000元/m²起",总价待定
天房麗山,在售,[河西-陈塘庄]台儿庄路与海津大桥交口西侧,,2018.03.02,"均价43,000元/m²",总价待定
新城樾风华,在售,北辰 - 津围公路地铁3号线丰产河站北行1.6公里,二居(1)，三居(2),2018.03.13,"均价15,500元/m²",136-164万元
格调松间,在售,[西青-津涞公路]地铁三号线大学城站北侧方向,二居(1)，三居(3),2018.03.12,"最低23,500元/m²起",总价待定
万科翡翠大道,待售,[西青-张家窝]海泰南道与赛达大道交口,二居(2)，三居(2),2018.03.15,售价待定,总价待定
中建悦府,在售,河东 - 八纬路与大直沽中路交口，河东体育场南侧,二居(2)，三居(2),2018.03.15,"最低40,000元/m²起",563万元
奕聪花园（公寓）,在售,[南开-水上奥体]红旗南路快速路北侧,一居(1)，二居(2)，三居(2),2018.02.28,"均价23,000元/m²",209-496万元
鼎福汇,在售,[南开-老城厢]南开三马路与南马路交口,一居(4),2018.03.02,"最低36,000元/m²起",214-291万元
奕聪花园（别墅）,在售,[南开-水上奥体]红旗南路快速路北侧,五居及以上(3),2018.03.01,"1,404-1,698万元/套",
大悦城悦府Ⅱ期,售罄,[南开-老城厢]南开南门外大街与南马路交口,一居(8)，二居(7)，三居(2),,"均价25,000元/m²",总价待定
宝利国际广场,售罄,[南开]长江道与南丰路交口,二居(2)，三居(2),,"均价17,000元/m²",总价待定
大悦城悦府Ⅱ期（公寓）,售罄,[南开-老城厢]南开南门外大街与南马路交口,一居(8)，二居(7)，三居(2),,"均价20,000元/m²",总价待定
倍儿幸福（公寓）,售罄,[南开]南开红旗路与青年路交口,一居(2)，二居(2),,售价待定,总价待定
海河大道宽景公寓（别墅）,售罄,河北 - 河北建国道和翔纬路交口（海河东岸）,不限(1)，一居(4),,总价待定,
天房樾梅江,待售,[河西-梅江]珠江道86号,二居(1)，三居(3),2018.02.28,售价待定,总价待定
富华梅江公馆（公寓）,在售,河西 - 郁江道与五号堤路交口（友谊桥向东500米）,一居(1)，二居(1)，三居(1),2018.02.28,"均价20,000元/m²",116-270万元
恒大御景湾,在售,[北辰-南仓]铁东北路与淮河道交口东北侧,二居(2)，三居(5)，四居(1),2018.03.14,"均价20,500元/m²",180-295万元
东岸名郡,待售,[北辰-双街镇]京津快速路与小街新苑路交口,二居(1)，三居(2)，四居(1),2018.03.14,售价待定,"11,000元/m²"
正荣府,在售,北辰 - 淮东路与潞江东路交口（现北辰车管所南侧）,二居(1)，三居(6)，四居(1),2018.03.14,"均价20,500元/m²",172-330万元
富力津门湖,在售,[西青-后梅江]绥江道与江湾路交口,二居(2)，三居(6),2018.03.15,"最低30,000元/m²起",297万元起
联发红郡,在售,[西青-张家窝]香海道以西，高泰路以北,三居(2)，四居(1),2018.03.15,"均价19,000元/m²",200-228万元
万科东第,在售,西青 - 卫津南路西侧中医一附院（南院）旁,二居(1)，三居(2),2018.03.15,"最低38,000元/m²起",540-684万元
东亚风尚国际,在售,[河东-新开路]新开路西侧（育才中学对面）,一居(1)，二居(2)，三居(3),2018.02.23,"均价19,000元/m²",总价待定
东达国际公寓（公寓）,在售,[河东-大直沽]大直沽中路与八纬路交口处...,,2018.03.01,"均价24,000元/m²",总价待定
北大资源阅公馆（公寓）,在售,[河西]黑牛城道与洪泽南路交口东南侧,一居(3)，二居(1),2018.03.01,"均价25,000元/m²",125-193万元
中冶德贤公馆（公寓）,在售,河西 - 大沽南路与洪泽路交口（靠近中环）,一居(2)，二居(2),2018.03.02,"最低26,000元/m²起",143-198万元
融创城,在售,[东丽-津滨大道]津滨大道与登州南路交口,二居(1)，三居(5)，四居(2),2018.03.15,"最低30,000元/m²起",255-504万元
融创臻园,在售,[北辰-南仓]淮东路和沁河北道交口,二居(1)，三居(7)，四居(3),2018.03.15,"均价24,000元/m²",242-293万元
天房璟悦府,在售,[北辰-瑞景]北辰道北侧（儿童医院斜对过）,二居(4)，三居(3),2018.03.13,"均价22,000元/m²",191-295万元
金地艺城华府,在售,北辰 - 东纵快速（铁东路）与西北半环快速（淮河道）交口,二居(4)，三居(8)，四居(1),2018.03.14,"均价24,000元/m²",400万元起
鑫茂园（公寓）,在售,[西青-杨柳青]柳口路98号,开间(6),2018.02.28,"均价8,000元/m²",总价待定
旭辉燕南园,待售,[西青-精武镇]团泊大道与京华道交口,二居(1)，三居(4),2018.02.06,售价待定,总价待定
天安数码城,待售,[西青-张家窝]赛达大道与柳口路交口,,2018.02.28,售价待定,总价待定
房信彩虹城（限价房）,待售,[西青-大寺镇]梨双路西南侧,一居(2)，二居(5)，三居(1),2018.02.06,售价待定,总价待定
社会山西苑,待售,西青 - 祥和大道与枫雅道交口（天津南站西侧600米）,二居(2),2018.03.02,售价待定,总价待定
红城,在售,河东 - 卫国道与红星路交口（顺驰桥下）,三居(1)，四居(2),2018.03.02,"均价35,000元/m²",总价待定
